BRAND,DNLA,SKU_NO,SEQNUM,INCLUDES,INCLUDES_RAW,INCLUDED_QTY,LINK_SKU
Axler,N,1203377,2,"3/8""-16 Bushing","3/8""-16 Bushing",1,
Axler,N,1203377,3,"7/64"" Hex Key","7/64"" Hex Key",1,
Axler,N,1203377,4,T9 Hex Key,T9 Hex Key,1,
Axler,N,1203377,5,Set Screws,Set Screws,2,
Axler,N,1203377,6,Carry Case,Carry Case,1,
Axler,N,1203377,7,Limited 1-Year Warranty,Limited 1-Year Warranty,1,
Axler,N,1204481,1,Carrying Case,Carrying Case,1,
Axler,N,1204481,2,Limited 1-Year Warranty,Limited 1-Year Warranty,1,
Axler,N,1205408,1,Quick-Release Plate,Quick-Release Plate,1,
Axler,N,1205408,2,Counterweight,Counterweight,1,
Axler,N,1205408,3,Counterweight Bolt,Counterweight Bolt,1,
Axler,N,1205408,4,Limited 1-Year Warranty,Limited 1-Year Warranty,1,
Axler,N,1253101,1,Ball Head,Ball Head,1,
Axler,N,1253101,2,Limited 1-Year Warranty,Limited 1-Year Warranty,1,
Axler,N,1259098,1,Adjustable Lens Gear,Adjustable Lens Gear,1,
Axler,N,1259098,2,Drive Gear,Drive Gear,1,
Axler,N,1259098,3,Limited 1-Year Warranty,Limited 1-Year Warranty,1,
Axler,N,1259099,1,Adjustable Lens Gear,Adjustable Lens Gear,1,
Axler,N,1259099,2,Drive Gear,Drive Gear,1,
Axler,N,1259099,3,Allen Wrench,Allen Wrench,1,
Axler,N,1259099,4,Limited 1-Year Warranty,Limited 1-Year Warranty,1,
Axler,N,1271174,1,Padded Carrying Case,Padded Carrying Case,1,
Axler,N,1271174,2,Shoulder Strap,Shoulder Strap,1,
Axler,N,1271174,3,3mm Hex Key,3mm Hex Key,1,
Axler,N,1271174,4,Auxiliary Rubber Foot,Auxiliary Rubber Foot,1,
Axler,N,1271174,5,Quick Release Plate,Quick Release Plate,1,
Axler,N,1271174,6,Limited 3-Year Warranty,Limited 3-Year Warranty,1,
Impact,N,253064,1,"Surfaces: Black, silver mylar, white, soft-gold and translucent","Surfaces: <br>Black, silver mylar, white, soft-gold and translucent",5,
Impact,N,253064,2,"Tear resistant, nylon carrying pouch","Tear resistant, nylon carrying pouch",1,
Impact,N,253064,3,1 Year Manufacturer's Warranty,1 Year Manufacturer's Warranty,1,
Impact,N,253077,1,Back-Lite Stand Base,Back-Lite Stand Base,1,
Impact,N,253077,2,Pole for Back-Lite Stand,Pole for Back-Lite Stand,1,
Impact,N,253077,3,"5/8"" Stud with 1/4-20"" and 3/8"" threaded tips","5/8"" Stud with 1/4-20"" and 3/8"" threaded tips",1,
Impact,N,253077,4,Limited 1-Year Warranty,Limited 1-Year Warranty,1,
Impact,N,253081,1,Seat Cushion,Seat Cushion,1,
Impact,N,253081,2,Mounting Plate,Mounting Plate,1,
Impact,N,253081,3,"Screws (1/2"")","Screws (1/2"")",4,
Impact,N,253081,4,Pneumatic Cylinder,Pneumatic Cylinder,1,
Impact,N,253081,5,Pedestal Feet,Pedestal Feet,5,
Impact,N,253081,6,User Manual,User Manual,1,
Impact,N,253081,7,Limited 1-Year Warranty,Limited 1-Year Warranty,1,
Impact,N,262758,1,Limited 1-Year Warranty,Limited 1-Year Warranty,1,
Impact,N,272645,1,Limited 1-Year Warranty,Limited 1-Year Warranty,1,
Impact,N,272945,1,Integral Reflector Clips,Integral Reflector Clips,2,
Impact,N,272945,2,Integral Locking Pivot Lever,Integral Locking Pivot Lever,1,
Impact,N,272945,3,One Year Manufacturer's Warranty,One Year  Manufacturer's Warranty,1,
Impact,N,283645,1,"Surfaces: Silver mylar, white, gold, silver-gold, translucent","Surfaces: <br>Silver mylar, white, gold, silver-gold, translucent",5,
Impact,N,283645,2,Tear Resistant Nylon Carrying Pouch,Tear Resistant Nylon Carrying Pouch,1,
Impact,N,283645,3,1 Year Manufacturer's Warranty,1 Year Manufacturer's Warranty,1,
